date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date
2026-09-03 00:00:00,73.0,-14.24,3.38,14.55,0.34,-1.46,1.3,148.8,183.2,311.1,2026-09-02 14:30:11,2026-09-02 23:14:30
2026-09-03 01:00:00,19.62,-19.99,1.17,19.5,0.99,0.64,0.43,88.3,223.1,293.5,2026-09-02 14:20:03,2026-09-03 00:14:17
2026-09-03 02:00:00,19.5,-54.01,-1.38,18.56,-28.01,-7.98,-1.8,74.2,192.1,255.0,2026-09-02 14:20:06,2026-09-03 01:14:21
2026-09-03 03:00:00,19.5,-24.33,0.14,19.24,1.84,-2.53,-1.06,61.1,215.0,269.8,2026-09-02 14:20:05,2026-09-03 02:13:32
2026-09-03 04:00:00,21.69,-39.7,1.54,19.1,9.86,-1.68,0.69,97.4,219.3,281.7,2026-09-02 14:20:07,2026-09-03 03:12:27
2026-09-03 05:00:00,207.68,-19.99,22.86,19.49,8.97,15.43,24.48,73.4,134.2,184.9,2026-09-02 14:20:03,2026-09-03 04:13:05
2026-09-03 06:00:00,199.99,-4.82,122.51,172.65,131.6,105.35,114.98,102.4,135.7,185.1,2026-09-02 14:20:06,2026-09-03 05:13:31
2026-09-03 07:00:00,233.08,13.14,162.83,189.62,13.14,158.43,161.95,122.3,122.3,219.2,2026-09-02 14:20:03,2026-09-03 06:13:19
2026-09-03 08:00:00,211.76,9.77,136.94,145.67,39.48,108.97,135.75,231.1,222.4,396.6,2026-09-02 14:27:29,2026-09-03 07:14:56
2026-09-03 09:00:00,162.4,3.54,62.37,127.58,20.0,39.06,58.73,151.2,212.8,302.5,2026-09-02 16:30:02,2026-09-03 08:14:37
2026-09-03 10:00:00,123.62,0.0,22.26,51.86,1.6,15.24,17.61,112.7,278.7,355.8,2026-09-02 17:00:05,2026-09-03 09:14:41
2026-09-03 11:00:00,85.5,-20.78,15.15,82.43,2.0,8.94,13.38,144.1,267.2,379.2,2026-09-02 18:00:11,2026-09-03 10:14:56
2026-09-03 12:00:00,55.27,-32.08,9.03,45.29,-3.0,-0.87,4.18,261.6,392.3,612.1,2026-09-02 14:35:50,2026-09-03 11:14:39
2026-09-03 13:00:00,63.88,-10.0,10.28,27.73,-2.14,2.91,3.16,272.3,436.7,688.2,2026-09-02 14:34:28,2026-09-03 12:14:45
2026-09-03 14:00:00,39.62,-18.59,8.54,24.66,9.46,4.2,3.22,208.1,346.3,525.1,2026-09-02 14:34:48,2026-09-03 13:13:00
2026-09-03 15:00:00,89.47,-15.19,10.77,24.79,10.0,6.02,6.73,127.6,277.2,365.7,2026-09-02 14:44:05,2026-09-03 14:14:20
2026-09-03 16:00:00,109.16,-2.05,46.97,59.27,85.89,38.31,36.95,225.8,384.3,586.3,2026-09-02 14:23:06,2026-09-03 15:14:49
2026-09-03 17:00:00,218.99,-9.99,101.55,83.91,159.12,94.98,100.43,154.9,259.2,377.5,2026-09-02 15:23:08,2026-09-03 16:14:42
2026-09-03 18:00:00,200.0,40.0,156.7,153.05,143.19,152.68,155.82,155.4,258.8,385.3,2026-09-02 15:01:56,2026-09-03 17:14:50
2026-09-03 19:00:00,230.0,48.01,160.26,183.01,90.0,143.79,155.37,104.0,224.8,279.7,2026-09-03 02:15:01,2026-09-03 18:14:10
2026-09-03 20:00:00,259.2,46.51,145.85,173.83,143.8,126.62,135.09,150.0,313.4,425.6,2026-09-03 01:05:27,2026-09-03 19:13:00
2026-09-03 21:00:00,182.7,34.98,131.94,146.56,122.0,101.22,116.18,138.3,425.3,524.7,2026-09-02 17:12:19,2026-09-03 20:13:01
2026-09-03 22:00:00,160.65,49.31,118.63,146.56,120.01,85.12,109.86,127.0,494.0,577.0,2026-09-02 14:31:00,2026-09-03 21:13:00
2026-09-03 23:00:00,156.98,-6.99,82.03,136.95,75.27,80.8,77.6,123.3,452.2,541.2,2026-09-02 23:12:00,2026-09-03 22:14:24
2026-09-04 00:00:00,175.99,34.84,64.91,63.06,80.0,74.29,67.59,155.6,174.2,292.9,2026-09-03 14:37:57,2026-09-03 23:13:00
2026-09-04 01:00:00,151.8,28.0,56.48,74.66,50.4,52.65,59.33,188.3,236.6,371.7,2026-09-03 14:45:58,2026-09-04 00:13:00
2026-09-04 02:00:00,106.19,26.86,46.99,71.02,31.35,51.19,48.97,168.2,257.5,408.7,2026-09-03 14:20:07,2026-09-04 01:13:00
2026-09-04 03:00:00,97.38,25.16,46.34,69.5,57.0,57.14,51.37,110.8,223.8,325.2,2026-09-03 14:20:06,2026-09-04 02:14:30
2026-09-04 04:00:00,133.27,28.42,51.82,39.99,84.91,71.98,63.72,143.5,214.4,332.8,2026-09-03 14:25:00,2026-09-04 03:13:00
2026-09-04 05:00:00,300.0,22.31,68.43,60.99,69.51,96.78,80.43,115.9,143.6,224.3,2026-09-03 14:20:04,2026-09-04 04:14:37
2026-09-04 06:00:00,198.99,30.0,87.02,152.83,76.28,93.92,92.8,139.2,203.3,296.5,2026-09-03 14:20:04,2026-09-04 05:14:58
2026-09-04 07:00:00,161.08,48.27,98.74,92.0,59.0,91.15,94.16,193.4,252.6,407.0,2026-09-03 14:25:00,2026-09-04 06:13:48
2026-09-04 08:00:00,298.28,10.12,80.7,99.78,133.86,59.02,76.33,154.9,258.7,382.1,2026-09-03 15:00:01,2026-09-04 07:13:55
2026-09-04 09:00:00,143.64,20.06,84.17,87.94,40.0,83.33,81.52,196.6,256.5,412.2,2026-09-03 14:46:08,2026-09-04 08:14:54
2026-09-04 10:00:00,109.8,10.0,64.55,92.65,25.0,52.3,60.7,218.1,292.3,472.2,2026-09-03 14:43:40,2026-09-04 09:14:25
2026-09-04 11:00:00,103.87,6.0,50.47,79.58,29.0,32.75,45.66,130.9,270.1,373.6,2026-09-03 14:34:57,2026-09-04 10:14:55
